kind,split,idx,test_text,corpus_text
exact,within,136,thanks for the follow,@AmberFounder Thanks for the follow!
exact,within,136,thanks for the follow,@iTweetLiberty Thanks for the follow!
exact,short,746,Miss me with that bullshit,Miss me with that bullshit.
exact,within,136,thanks for the follow,@everygiveaway thanks for the follow!
exact,within,136,thanks for the follow,@CareJoes Thanks for the follow!
exact,within,136,thanks for the follow,@EstherO73 Thanks for the follow
exact,within,136,thanks for the follow,@OmariMC Thanks for the follow
exact,short,270,he said one day you ll leave this world behind so live a life you will remember,"He said, one day you'll leave this world behind. So live a life you will remember."
exact,within,136,thanks for the follow,Thanks for the follow @ZachBoychuk.
exact,within,136,thanks for the follow,@CelinaClarkson thanks for the follow!
exact,within,56,My TeenChoice nominee for ChoiceMusicGroupMale is Super Junior,หกสิบ  My #TeenChoice nominee for #ChoiceMusicGroupMale is Super Junior
exact,within,136,thanks for the follow,@anaty9 #Thanks for the follow!
exact,within,136,thanks for the follow,@UKStartUp thanks for the follow
exact,within,56,My TeenChoice nominee for ChoiceMusicGroupMale is Super Junior,@TeenChoiceFOX My #TeenChoice nominee for #ChoiceMusicGroupMale is SUPER JUNIOR
exact,within,56,My TeenChoice nominee for ChoiceMusicGroupMale is Super Junior,"...
My #TeenChoice nominee for #ChoiceMusicGroupMale is SUPER JUNIOR"
exact,within,56,My TeenChoice nominee for ChoiceMusicGroupMale is Super Junior,منتتهخ My #TeenChoice nominee for #ChoiceMusicGroupMale is SUPER JUNIOR
exact,within,136,thanks for the follow,@HBE617 Thanks for the follow!
exact,within,136,thanks for the follow,@The_Griffter Thanks for the follow!!
exact,within,136,thanks for the follow,@alexrodcano Thanks for the follow!!!
exact,within,136,thanks for the follow,Thanks for the follow @teenagerquuotes
exact,within,136,thanks for the follow,@KyleJKOfficial thanks for the follow
exact,within,136,thanks for the follow,@PeterCrozz Thanks for the follow!
exact,within,136,thanks for the follow,@BeUberly thanks for the follow
exact,within,136,thanks for the follow,@TSwift_FansHere Thanks for the follow
exact,within,136,thanks for the follow,@RenatoBoldetti Thanks for the follow!
exact,within,136,thanks for the follow,@debspinkdrink thanks for the follow
exact,within,136,thanks for the follow,Thanks for the follow @BelfastUnderRec @hope4_youth @rach__mathews @InnsMarket @cancerrxc @HelenDixon10 @ConnectNI @demiohara @Cousins_Gary
exact,within,136,thanks for the follow,@BeatingHerUnder thanks for the follow
exact,within,136,thanks for the follow,@sheenamwhite Thanks for the follow!
exact,within,136,thanks for the follow,@quwelehirife Thanks for the follow
exact,within,161,Lemme get ready for work,Lemme get ready for work
exact,within,136,thanks for the follow,@Luna_Nokomis Thanks for the follow.
exact,within,136,thanks for the follow,@ldufour thanks for the follow!
exact,within,136,thanks for the follow,@JohnG500 thanks for the follow!
exact,within,136,thanks for the follow,@BenCampMusic thanks for the follow!
exact,within,136,thanks for the follow,@PSMMoms Thanks for the follow.
exact,short,563,I don t know what to do,I don't know what to do
exact,within,136,thanks for the follow,@_WhatItIsHoe_ thanks for the follow
exact,within,136,thanks for the follow,@yvanstauffer thanks for the follow
exact,within,136,thanks for the follow,Thanks for the follow @joelcomm
exact,within,136,thanks for the follow,@ai_weekly Thanks for the follow
exact,long,362,I need to cut my hair,I need to cut my hair
exact,within,136,thanks for the follow,@SororitySpeak thanks for the #follow
exact,long,860,today is not my day,Today is not my day.
exact,within,136,thanks for the follow,@VarickBoyd ✨THANKS FOR THE FOLLOW! ✨
exact,within,136,thanks for the follow,@Patrick50809510 Thanks for the follow
exact,within,136,thanks for the follow,@ChefNicholasG Thanks for the follow
exact,within,136,thanks for the follow,Thanks for the follow! @cassdicriscio
exact,within,359,Best of luck,@Talldarkfriend @BBCTheVoiceUK Best of luck.
exact,within,136,thanks for the follow,@Martha_andMiles thanks for the follow!
exact,within,136,thanks for the follow,Thanks for the follow @mistress_z_ @yabousa @FetishMovieBlog @GingerKen54
exact,within,136,thanks for the follow,@thedarlinsmusic thanks for the follow
exact,short,86,With the new day comes new strength and new thoughts Eleanor Roosevelt,"""With the new day comes new strength and new thoughts.""- Eleanor Roosevelt"
exact,within,136,thanks for the follow,@MyMamihood Thanks for the follow
exact,within,136,thanks for the follow,@skipbolden thanks for the follow
exact,within,136,thanks for the follow,@MarkMccord10 Thanks for the follow!
exact,within,136,thanks for the follow,@KevinAhles Thanks for the follow.
exact,within,359,Best of luck,"""~Best of luck.""

{@Grivine_Grimmie}"
exact,long,860,today is not my day,Today is not my day 😪
exact,within,136,thanks for the follow,@mikewittenstein Thanks for the follow!
exact,within,136,thanks for the follow,Thanks for the follow @JavaBot_!
exact,within,136,thanks for the follow,@NateMaingard Thanks for the follow
exact,within,136,thanks for the follow,@SafiyaHaq Thanks for the follow!
exact,within,136,thanks for the follow,@GoodEATSProgram  Thanks for the follow
exact,within,136,thanks for the follow,@141days Thanks for the follow
exact,within,359,Best of luck,@ILoveToPout best of luck
exact,within,136,thanks for the follow,@UnfilteredKathy  Thanks for the follow!
exact,within,136,thanks for the follow,@Antionette1_ Thanks for the follow!
exact,within,136,thanks for the follow,@BlaznJalen thanks for the follow
exact,within,136,thanks for the follow,@androidmktng Thanks for the follow!
exact,within,136,thanks for the follow,@thetomtobin Thanks for the follow!
exact,within,136,thanks for the follow,@Iamkctherapper thanks for the follow
exact,within,136,thanks for the follow,Thanks @lindsey_09 for the follow!
exact,within,136,thanks for the follow,@DubbFrmUTH thanks for the follow 🙌🏻
exact,within,136,thanks for the follow,"@macmommamary 
Thanks for the follow..."
exact,within,136,thanks for the follow,@cohendjcohen Thanks for the follow
exact,within,136,thanks for the follow,@tylermammone thanks for the follow
exact,within,136,thanks for the follow,Thanks For The Follow @ulawaki
exact,within,136,thanks for the follow,@DavidOulton thanks for the follow.
exact,long,860,today is not my day,Today is not my day
exact,short,563,I don t know what to do,I Don't know what to do.''
exact,within,136,thanks for the follow,@SocialInIrvine thanks for the follow!
exact,within,136,thanks for the follow,@Phynest1 Thanks for the follow.
exact,within,136,thanks for the follow,"@sunnyone0107 

Thanks for the follow"
exact,within,359,Best of luck,@mipaltan Best of luck
exact,within,136,thanks for the follow,@Kol84791Paa thanks for the follow!
exact,within,136,thanks for the follow,@Kevin_T_Johns Thanks for the follow.
exact,within,359,Best of luck,@JFrusciante1 @AberdeenUtdFC Best of luck!
exact,within,136,thanks for the follow,@amberlowey_ thanks for the follow!
exact,within,359,Best of luck,@SDhawan25 Best of luck
exact,within,136,thanks for the follow,@EmilyJoGates @healthy_life00 @DaIIyFltness Thanks for the follow:)
exact,within,136,thanks for the follow,@SaveYa_  Thanks for the follow!!
exact,within,376,I read the news today oh boy,"I read the news today, oh boy...."
exact,within,136,thanks for the follow,@klingonguy Thanks for the follow
exact,within,136,thanks for the follow,@Nienna_empires Thanks for the follow
exact,within,136,thanks for the follow,@CoachMMacDonald Thanks for the follow!
exact,within,136,thanks for the follow,@Darreng85031479 thanks for the follow  🌋
exact,within,136,thanks for the follow,@pinngle thanks for the follow.
exact,within,136,thanks for the follow,@benediktbaldwin Thanks for the follow!
exact,within,136,thanks for the follow,@TheCooksCook Thanks for the follow!
exact,within,136,thanks for the follow,@susanhorgan1 thanks for the follow
exact,within,136,thanks for the follow,@monstercouch thanks for the follow
exact,short,534,My back is KILLING me,My back is killing me
exact,within,136,thanks for the follow,@Itybitybee Thanks for the follow!!
exact,within,123,thank you for everything,@GthingBBall @WWiexcel Thank you for everything💪🏽
exact,within,136,thanks for the follow,thanks for the follow. @Angel__Investor
exact,within,136,thanks for the follow,@ContentCal_io Thanks for the follow!
exact,within,136,thanks for the follow,"Thanks for the follow, @SohilManeer!"
exact,within,136,thanks for the follow,@mattstillwell Thanks for the follow! ;-)
exact,short,693,If i could quit my job and fuck you all day shit I would,If I could quit my job and fuck you all day shit i would
exact,long,860,today is not my day,Today is not my day
exact,long,860,today is not my day,today is not my day
exact,within,136,thanks for the follow,@kenzieluewho thanks for the follow!
exact,long,451,Follow everyone who likes and retweets this,"Follow everyone who Likes and Retweets this 📢✅..,"
exact,within,136,thanks for the follow,@thomasc62258515 Thanks for the follow!
exact,within,136,thanks for the follow,@VanlifeRT thanks for the follow
exact,within,136,thanks for the follow,@DrunkenDragons Thanks for the follow!
exact,long,362,I need to cut my hair,I need to cut my hair
exact,within,136,thanks for the follow,@jlhelmuth Thanks for the follow 🇺🇸
exact,within,359,Best of luck,@ElectWomen2018 @Emma4Change @eryngilchrist Best of luck!!!!
exact,within,136,thanks for the follow,@bob42156 thanks for the follow!
exact,within,136,thanks for the follow,@DeplorableShay5 Thanks for the follow
exact,short,453,good morning to you have a great day,@marykcalver good morning to you have a great day 💗🐰💖💝💜
exact,within,136,thanks for the follow,@ChristyPowers thanks for the follow.
exact,long,451,Follow everyone who likes and retweets this,"follow everyone who likes and retweets this, ⏰!"
exact,long,451,Follow everyone who likes and retweets this,"follow everyone who likes and retweets this, 🍕!"
exact,within,136,thanks for the follow,@NENUCO70XXX Thanks for the follow! 💋
exact,within,136,thanks for the follow,"Thanks for the follow, @ibethehyena!"
exact,within,136,thanks for the follow,@dearbrokenmsg thanks for the follow
exact,within,136,thanks for the follow,@brianepowers42 thanks for the follow!
exact,within,136,thanks for the follow,@RealBenBailey thanks for the follow!
exact,long,362,I need to cut my hair,I need to cut my hair
exact,within,136,thanks for the follow,@BacTechGreen Thanks for the follow!
exact,short,534,My back is KILLING me,my back is killing me
exact,within,136,thanks for the follow,@ImmaBlueDot Thanks for the follow
exact,long,451,Follow everyone who likes and retweets this,Follow everyone who Likes and Retweets this ♥️👈
exact,within,136,thanks for the follow,"@bigbosco8 
Thanks for the follow"
exact,short,874,Only way to do it,@greglamatrice @Bcarp3 Only way to do it
exact,within,123,thank you for everything,@BTS_twt thank you for everything 🧡
exact,short,645,I need someone to talk to,i need someone to talk to....
exact,within,359,Best of luck,@MissWorldNepal Best of luck
exact,within,136,thanks for the follow,@ElAcido4 thanks for the follow 🙏
exact,short,563,I don t know what to do,I don't know what to do.
exact,long,860,today is not my day,Today is not my day
exact,within,359,Best of luck,Best of Luck!
exact,long,451,Follow everyone who likes and retweets this,Follow everyone who LIKES and RETWEETS this 🔵 🙈🎷
exact,within,359,Best of luck,@zaqboxing @gsaksa Best of luck
exact,long,451,Follow everyone who likes and retweets this,Follow everyone who Likes and Retweets this 🥨💡
exact,within,136,thanks for the follow,@corrosionpedia Thanks for the follow!
exact,long,451,Follow everyone who likes and retweets this,Follow everyone who Likes and Retweets this 🦋💡.
exact,within,136,thanks for the follow,@Bella21384197 thanks for the follow
exact,long,451,Follow everyone who likes and retweets this,: Follow everyone who Likes and Retweets this 🍥 ♥️💕🎯
exact,long,451,Follow everyone who likes and retweets this,: Follow everyone who Likes and Retweets this 🐿 ♥️💕🎯
exact,within,123,thank you for everything,@lilxnarnia @astari @NicholasJandora @NeekAttack Thank you for everything.
exact,long,451,Follow everyone who likes and retweets this,Follow everyone who Likes and Retweets this ❤
exact,within,123,thank you for everything,@bts_bighit Thank you for everything 💛
exact,within,136,thanks for the follow,@BORNTORAGE01 thanks for the follow!
exact,short,645,I need someone to talk to,I need someone to talk to.
exact,within,136,thanks for the follow,@Myke54572599 Thanks for the follow!🙏🏽
exact,within,359,Best of luck,@Dianna95015624 Best of luck
exact,within,136,thanks for the follow,@Allan_m_256 Thanks for the follow
exact,within,123,thank you for everything,@cooheartt Thank you for everything
exact,within,359,Best of luck,@rollno628 @__doraemon11__ Best of luck 😂😂😂😂
exact,short,563,I don t know what to do,I don’t know what to do
exact,long,451,Follow everyone who likes and retweets this,Follow everyone who likes and retweets this 🇰🇪 🇰🇪
exact,long,451,Follow everyone who likes and retweets this,Follow everyone who Likes and Retweets this!..
exact,within,136,thanks for the follow,@ElisabethRees Thanks for the follow.
exact,short,270,he said one day you ll leave this world behind so live a life you will remember,"He said ""One day you'll leave this world behind, so live a life you will remember”."
exact,short,645,I need someone to talk to,I need someone to talk to.
exact,within,359,Best of luck,@waltshaub Best of luck.
exact,within,359,Best of luck,@victorosimhen9 @sscnapoli Best of luck 👊💪
exact,within,359,Best of luck,@rehraab Best of luck
exact,within,136,thanks for the follow,@Robertk_95 thanks for the follow
exact,within,136,thanks for the follow,@buildinghouses7 Thanks for the follow
exact,within,359,Best of luck,@Fryman401 Best of luck.
exact,within,136,thanks for the follow,@FansGodzilla thanks for the follow
exact,within,123,thank you for everything,thank you :(( for everything
exact,within,136,thanks for the follow,@BatmanBW2020 thanks for the follow
exact,short,645,I need someone to talk to,I need someone to talk to.
exact,within,359,Best of luck,@Geoseph_Usher Best of luck!
exact,within,359,Best of luck,@RossMcCaff best of luck!
exact,within,359,Best of luck,@lildjj0 Best of luck
exact,within,136,thanks for the follow,@Atemplin021 Thanks for the follow! 🏈
exact,long,451,Follow everyone who likes and retweets this,Follow everyone who LIKES ❤ ❤ and RETWEETS this 🔄💢.
exact,within,136,thanks for the follow,@Noone01179971 thanks for the follow!
exact,long,362,I need to cut my hair,i need to cut my hair
exact,within,359,Best of luck,@tortitudeCC Best of luck
exact,within,123,thank you for everything,@LUNERPW Thank you for everything
exact,long,860,today is not my day,Today is not my day😥
exact,long,860,today is not my day,today is. Not my day
exact,long,451,Follow everyone who likes and retweets this,follow everyone who likes and retweets this 🍃
exact,within,136,thanks for the follow,@MsAbbi247 thanks for the follow!
near,within,56,My TeenChoice nominee for ChoiceMusicGroupMale is Super Junior,"يايي
My #TeenChoice nominee for #ChoiceMusicGroupMale SUPER JUNIOR
My #TeenChoice nominee for #ChoiceMusicGroupMale is SUPER JUNIOR"
near,within,56,My TeenChoice nominee for ChoiceMusicGroupMale is Super Junior,"و
My #TeenChoice nominee for #ChoiceMusicGroupMale is SUPER JUNIOR 

My #TeenChoice nominee for #ChoiceMusicGroupMale SUPER JUNIOR"
near,within,56,My TeenChoice nominee for ChoiceMusicGroupMale is Super Junior,"ي وررعععع
My #TeenChoice nominee for #ChoiceMusicGroupMale SUPER JUNIOR
 My #TeenChoice nominee for #ChoiceMusicGroupMale is SUPER JUNIOR"
near,long,451,Follow everyone who likes and retweets this,FOLLOW EVERYONE WHO RETWEETS AND LIKES THIS🍭
near,long,451,Follow everyone who likes and retweets this,Follow everyone who retweets and likes this 🍝
near,long,451,Follow everyone who likes and retweets this,Follow everyone who retweets and likes this📻
near,short,645,I need someone to talk to,I need someone to talk
near,long,451,Follow everyone who likes and retweets this,Follow everyone who retweets and likes this 💡
near,long,135,All the best God bless you,"@Amzashz All the best...
 God bless you all"
near,long,451,Follow everyone who likes and retweets this,Follow everyone  who Retweets and Likes this!☕
near,long,451,Follow everyone who likes and retweets this,Follow everyone who retweets and likes this 🐮
near,long,451,Follow everyone who likes and retweets this,Follow everyone who retweets and likes this  🥜
near,long,451,Follow everyone who likes and retweets this,Follow everyone who retweets and likes this 🐘
